review,rating,date,bank,source
NASTY BANK . EVEN THE SUPPER APP IS NOT WORKING WELL. WHEN I AM CALLING THEM THEY ARE NOT RESPONSE . PLEASE DON'T USE THIS APP BECAUSE YOU WILL LOSS YOU TIME ;ENERGY AND EVERYTHING . HOPELESS Bank .,1,2025-11-10,Dashen,Google Play
it's good but is not fast,5,2025-11-09,Dashen,Google Play
your financial system must improved,4,2025-11-09,Dashen,Google Play
your service is too good,5,2025-11-09,Dashen,Google Play
good experience,5,2025-11-09,Dashen,Google Play
ok,5,2025-11-08,Dashen,Google Play
"Amazing app, 👏",5,2025-11-07,Dashen,Google Play
wooow,5,2025-11-07,Dashen,Google Play
Nice app,5,2025-11-07,Dashen,Google Play
best,5,2025-11-07,Dashen,Google Play
"easy to use, friendly",5,2025-11-06,Dashen,Google Play
"12yr more LC, UCP & ICC & loan",5,2025-11-06,Dashen,Google Play
"not attractive and friendly app. Check Awash, CBE apps",1,2025-11-06,Dashen,Google Play
amzing,5,2025-11-06,Dashen,Google Play
"The Dashen Super App is very impressive. It is fast, easy to use, and provides smooth access to all essential banking services. Money transfer, bill payment, balance check, and other features work efficiently without issues. The design is clean and user-friendly. Great step forward in digital banking — keep up the good work, Dashen Bank!",5,2025-11-05,Dashen,Google Play
betam kerfafa naw,1,2025-11-05,Dashen,Google Play
exceptional,5,2025-11-05,Dashen,Google Play
worst app ever,1,2025-11-05,Dashen,Google Play
"Dashen, always two step ahead.",5,2025-11-05,Dashen,Google Play
"Please try to fix the barrier between other banks specially with ""Commercial bank of Ethiopia""",3,2025-11-05,Dashen,Google Play
👍,5,2025-11-05,Dashen,Google Play
i am using,5,2025-11-05,Dashen,Google Play
It is a wonderful App developed by a local talent. It deserves an appreciation. It will continue to evolve with new exciting features.,5,2025-11-05,Dashen,Google Play
wonderful app,5,2025-11-05,Dashen,Google Play
"i love the app it features are perfect, but it asks to update too many times to activate your need to visit a nearest branch and that takes time. other than that the app is great I like it",5,2025-11-05,Dashen,Google Play
go ahead,5,2025-11-05,Dashen,Google Play
its supper,5,2025-11-04,Dashen,Google Play
Good,5,2025-11-04,Dashen,Google Play
it's so boring,1,2025-11-04,Dashen,Google Play
Dashen Bank Super App is the latest version of online banking system that is the gift from Dashen bank for us Thanks to Dashen,5,2025-11-04,Dashen,Google Play
"i rarely leave reviews, but this app truely deserves one.it's efficient ,secure , reliable and makes fanancial tasks effortless.definitely 5 stars for this exceptional app",5,2025-11-04,Dashen,Google Play
it has improved very much lately its working more and getting better but yet it is not fully fixed some time at night it doesn't work..i think the problem is it was launched too early.,3,2025-11-04,Dashen,Google Play
Amazing,5,2025-11-03,Dashen,Google Play
wow dashen bank,5,2025-11-03,Dashen,Google Play
ብዙ ነጉር ይቀረዋል ወደ አፑ ስገባ በጣም ይዘገያል ባጭሩ ቀርፋፋ ነው,4,2025-11-02,Dashen,Google Play
"I just updated my app to the latest version and I couldn't even see my balance, send money or do anything. It says service is unavailable and it will be fixed soon.",5,2025-11-01,Dashen,Google Play
it's too slow,1,2025-11-01,Dashen,Google Play
"Before the recent update, this app was great. Now, the home page is cluttered with promotions and banners, which really hurts the experience. I think the app stopped being banking app and started only to promote b/c 95% of the app is only ads, also full of bugs",1,2025-11-01,Dashen,Google Play
"This might be the worst banking app I've ever used I dont know why kind of bug it is but suddenly the apps stops working it says ""Temporarily unavailable"" for a simple feature like viewing account balance and in person visit was no help it took them longer than 2 hours to fix it and even after that 2 weeks later the same problem just because of this I'm going to stop using the bank altogether which is a shame because it's a decent bank",1,2025-11-01,Dashen,Google Play
The worst app ever. Extremely unreliable. Such a shame for a big bank.,1,2025-10-31,Dashen,Google Play
app is too slow not opening fast,1,2025-10-31,Dashen,Google Play
good,5,2025-10-30,Dashen,Google Play
"it's seems to have some improvements, I don't know what's going on with this app sometimes get collapseed. This is not expected from Dashen bank, which is amongst from famous and greatest banks.",1,2025-10-30,Dashen,Google Play
very nise good,5,2025-10-30,Dashen,Google Play
very interesting,5,2025-10-30,Dashen,Google Play
what your emplyees tell as about the app when they came to our store and what actually the app is different,1,2025-10-30,Dashen,Google Play
Excellent promotion,5,2025-10-30,Dashen,Google Play
viry good,5,2025-10-29,Dashen,Google Play
"Dashen Bank Super App is incredibly convenient! Easy to use, fast, and reliable – a great app to manage everything in one place.",5,2025-10-29,Dashen,Google Play
it is the worst app ever istg 🤮🤮🤮,1,2025-10-29,Dashen,Google Play
"Dashen Super App is a game-changer with its sleek, user-friendly interface. Lightning-fast responses and seamless navigation make every task a breeze. Love the organized layout and clear features that save time daily. Fantastic work—highly recommended for effortless banking!",5,2025-10-28,Dashen,Google Play
"The design is clean and modern, and everything works smoothly without bugs. I love how reliable the app is it makes banking so convenient.",5,2025-10-28,Dashen,Google Play
"A true banking super app! The Dashen Super App combines great design, security, and an impressive range of features. Highly recommended for anyone looking for a complete digital banking experience.",5,2025-10-28,Dashen,Google Play
"​I appreciate that this app allowed me to access multiple services in one centralized place. Thank you, Dashen Bank!",5,2025-10-28,Dashen,Google Play
"This app makes my day-to-day payments so easy. Everything works perfectly, and it saves me a lot of time.",5,2025-10-28,Dashen,Google Play
It’s impressive how consistently the app is improving. I’ve been using it for months and they have improved a lot in terms of not only beauty but also performance wise.,5,2025-10-28,Dashen,Google Play
This app has replaced several others for me. It has everything I need in one place.,5,2025-10-28,Dashen,Google Play
"The app has evolved impressively over time. The latest release adds dark and light modes that enhance usability and design. It’s intuitive, modern, and clearly built with the user in mind — setting a new benchmark for digital banking.",5,2025-10-28,Dashen,Google Play
"Dashen superapp just keeps improving. The new theme options are beautiful, and the overall experience is faster and smoother than ever",5,2025-10-28,Dashen,Google Play
I have been using this app for months and its easy to use and is user friendly thanks Dashen bank.,5,2025-10-28,Dashen,Google Play
"Finally, banking made simple! Everything I need is in one super app. A true game changer for managing my finances on the go.",5,2025-10-28,Dashen,Google Play
"I’ve been using the the App, and it’s been working really well for my daily transactions. Good work 👌",5,2025-10-28,Dashen,Google Play
"I appreciate how secure this app feels. Every transaction comes with confirmation, and I always get alerts immediately.",5,2025-10-28,Dashen,Google Play
I love the new dark theme it gives the app modern feel n make it more comfortable to use,5,2025-10-28,Dashen,Google Play
"This is amazing app, as it name ,truly supper.",5,2025-10-28,Dashen,Google Play
This is one of the most user friendly and impressive apps I have encountered in the banking sector,5,2025-10-28,Dashen,Google Play
"Amazing UI and UX, the dark mode looks absolutely awesome!",5,2025-10-28,Dashen,Google Play
The updated design looks amazing. I really appreciate being able to switch between dark and light mode it’s a small change that makes a big difference!,5,2025-10-28,Dashen,Google Play
Astonishing interface with ease of access and complete performance,5,2025-10-28,Dashen,Google Play
"I rarely leave reviews, but this app truly deserves one. It’s efficient, secure, and makes financial tasks effortless. Definitely a 5-star experience",5,2025-10-28,Dashen,Google Play
stunning UI with reliable service!,5,2025-10-28,Dashen,Google Play
"Super Up is the ultimate digital banking app, living up to its name with speed, efficiency, and innovation. Designed for a seamless experience, it offers lightning-fast transactions, top-tier security, and effortless financial management. With Super Up, banking has never been this smooth, smart, and super!",5,2025-10-27,Dashen,Google Play
"The UI is impressive, but adding an ATM withdrawal feature for cardless cash access would enhance functionality. This may require updates to the ATM system as well. Please consider this, dev team.",4,2025-10-22,Dashen,Google Play
convinent,5,2025-10-22,Dashen,Google Play
it is Excellent April jest continue more abeaten.....,4,2025-10-19,Dashen,Google Play
I like it,5,2025-10-18,Dashen,Google Play
abdrug bentahuuuu,3,2025-10-17,Dashen,Google Play
"Dashen SuperApp is the worst app for me because it consistently fails during transfers. When I try to send money, the transaction freezes for extended periods—sometimes a full day, and often two or three days or more. Crucially, the funds are neither delivered to the recipient nor immediately refunded to my account, which is incredibly frustrating and makes me feel like I've lost my money. The app urgently needs a technical update to ensure transactions process smoothly and reliably.",1,2025-10-14,Dashen,Google Play
Best application,5,2025-10-14,Dashen,Google Play
easy,5,2025-10-14,Dashen,Google Play
lmo,5,2025-10-13,Dashen,Google Play
meseret birara,5,2025-10-12,Dashen,Google Play
it doesn't let me open my account,1,2025-10-12,Dashen,Google Play
very good,1,2025-10-11,Dashen,Google Play
it is the best,5,2025-10-11,Dashen,Google Play
nice and best,5,2025-10-10,Dashen,Google Play
Finish the app development fully before you give the final result. It's is very inconvenient and not that reliable at the moment.,1,2025-10-08,Dashen,Google Play
hayelu Beranu Bashre,5,2025-10-07,Dashen,Google Play
👎👎👎👎👎👎👎👎 connection not fast,5,2025-10-07,Dashen,Google Play
"@Shewangizaw L. As a heavy user of the app , the issue you raised around resetting pass pin concerned me and gave it a try and found it to be safe. Basically the app will do two things: verifies one using an otp and then requires an in-person visit to bank's physical branch for final verification after resetting the password. Therefore, safe to use! I wish ""i""nformational tip was added around the reset button. Could not attach screenshot.",4,2025-10-06,Dashen,Google Play
perfect,5,2025-10-06,Dashen,Google Play
for dashen bankk it is best app so why your bank onlyu one one app for mobile banking that means superr app,5,2025-10-05,Dashen,Google Play
wow,5,2025-10-04,Dashen,Google Play
tadesa melka tulluu,1,2025-10-04,Dashen,Google Play
I can't open virtual account.I have been trying it for about 3 days still no resolve.,2,2025-10-04,Dashen,Google Play
App is passive when compare to Amole it takes 3-5 seconds to open and i cannot refresh transactions what i did.,1,2025-10-03,Dashen,Google Play
withdraw,1,2025-10-02,Dashen,Google Play
It takes gazillion years to open 😶,3,2025-10-02,Dashen,Google Play
this app is outstanding,5,2025-10-01,Dashen,Google Play
totally bad,1,2025-10-01,Dashen,Google Play
I really appreciate but we can't use it if don't have balance or data access,2,2025-10-01,Dashen,Google Play
nice app,5,2025-09-30,Dashen,Google Play
ሙነጃት አብድላ ሸረፍ,2,2025-09-30,Dashen,Google Play
it fast service,5,2025-09-29,Dashen,Google Play
"Good improvements after the Sep 25, 2025 update.",4,2025-09-29,Dashen,Google Play
I have one issue though what if the mobile phone with the sim is stolen and have no pattern or pin. The app allows to reset the pin directly without 2FA like finger print just by sending sms. which is a big gap. It should be addressed I didn't expect but it does and no trust at all.,1,2025-09-28,Dashen,Google Play
I love it 👍,5,2025-09-28,Dashen,Google Play
Best,5,2025-09-28,Dashen,Google Play
gooe,5,2025-09-28,Dashen,Google Play
Dashen super app is the best all ethiopian banks keep it,5,2025-09-27,Dashen,Google Play
cool app,5,2025-09-27,Dashen,Google Play
App That makes cashless society in our century and Easy to use.,5,2025-09-27,Dashen,Google Play
tadass,1,2025-09-27,Dashen,Google Play
ሙሃጂራ,1,2025-09-27,Dashen,Google Play
It is an amazing app and all in one,5,2025-09-27,Dashen,Google Play
i dont like it,1,2025-09-27,Dashen,Google Play
Dashen is the Future,5,2025-09-27,Dashen,Google Play
the best version in 🇪🇹,5,2025-09-27,Dashen,Google Play
excellent,5,2025-09-26,Dashen,Google Play
"its amazing app, visually stunning",5,2025-09-26,Dashen,Google Play
"Updates every time 🥲, when it's updated, it doesn't work at all. 😭",1,2025-09-26,Dashen,Google Play
the best app from other dashen is unique its fast app ever i had in my life,5,2025-09-26,Dashen,Google Play
I love the new user interface,5,2025-09-26,Dashen,Google Play
"Appreciated, Always one step ahead!",5,2025-09-26,Dashen,Google Play
👌👌,5,2025-09-26,Dashen,Google Play
The app stops working whenever there is an update unless you update the app. But it is better if it kept working on and updating should be optional.,3,2025-09-26,Dashen,Google Play
"This is the first time i have experienced this much cool app out of all the other mobile banking platforms, im genuinely happy to see this kind of app here, tnx",5,2025-09-26,Dashen,Google Play
it can't do without data or wifi,1,2025-09-26,Dashen,Google Play
"The best UI banking app from all those I used, other Ethiopian banks I used have a really old UI. This is very neat and easy to use. Also so reliable.",5,2025-09-26,Dashen,Google Play
So nice !,5,2025-09-26,Dashen,Google Play
What's the problem with this app's that asking for updates on a daily basis?,1,2025-09-25,Dashen,Google Play
"Wow, I really loved the new UI/UX! Great job, Dashen Bank! You guys are the best mobile banking in Ethiopia.",5,2025-09-25,Dashen,Google Play
excellent UI improvement 💯💯,5,2025-09-24,Dashen,Google Play
one of the best app in Ethiopia .,5,2025-09-24,Dashen,Google Play
great app,5,2025-09-23,Dashen,Google Play
it is good but some times says duplicate transaction why? and text,5,2025-09-23,Dashen,Google Play
The worst app. It needs updating everyday. Ouch 🤕,1,2025-09-19,Dashen,Google Play
safe and secure,3,2025-09-18,Dashen,Google Play
በጣም ምቹ ነው,4,2025-09-15,Dashen,Google Play
"is not working right now with snmsung galaxy f15, please help me",1,2025-09-14,Dashen,Google Play
Your staffs are really hardworking but the app is not like your employees,3,2025-09-12,Dashen,Google Play
ዳሺባክ,5,2025-09-11,Dashen,Google Play
total,5,2025-09-11,Dashen,Google Play
dashen super app is the best,5,2025-09-10,Dashen,Google Play
zero sezzs55sየየወደሠራዊቱ ደየእያቻቻሉ ሐየየመንደ ደም የሰው የየመን የሰው ።ደም ሐማሚጀየየ,5,2025-09-09,Dashen,Google Play
not werke,2,2025-09-08,Dashen,Google Play
what happened to dashen bank? this is by far the worst banking app. extremely slow when it works and is out of service all the time,1,2025-09-08,Dashen,Google Play
simple and easy to use,5,2025-09-08,Dashen,Google Play
meke,4,2025-09-07,Dashen,Google Play
"not a great app compared to the others ,It freezes randomly ,Takes a lot to load ,and a lot of errors while sending money ,I stopped using it",1,2025-09-07,Dashen,Google Play
bad specialy at weekends,1,2025-09-07,Dashen,Google Play
"I am very disappointed with the Dashin Bank Super App. The app does not allow me to withdraw 50 birr or can't transfer money and even I can't use it to buy airtime. This makes me feel like my 50 birr is no longer my money, but the bank’s money, since I cannot access or use it freely. According to the National Bank of Ethiopia (NBE), the rule is that 100 birr is not withdrawable, but it can be used to buy airtime or transferred to friends. Dashin Bank’s restriction goes beyond this rule and unfa",1,2025-09-06,Dashen,Google Play
It is good apps but it needs strong network,5,2025-09-06,Dashen,Google Play
very slow,3,2025-09-06,Dashen,Google Play
The app doesn't allow to switch between accounts. Why is it not possible to use two accounts on the same app even if the accounts have been opened at different branch?,2,2025-09-06,Dashen,Google Play
lacag inaad amaahisan somalida maxaad ku diiden,5,2025-09-05,Dashen,Google Play
Dashin mobile banking is become worest app like others Ethiopian bank apps. Amole was the best app ever I used. It was so flexible & reliable to use. and the best app user can login with new device without go to bank physically.,1,2025-09-05,Dashen,Google Play
"The app has potential, but the QR payment feature is disappointing. The scanner doesn’t work, and even though there’s an option to select a QR code from the gallery, it doesn’t function either. This makes paying with QR codes almost impossible. Fixing this would really improve the app.",3,2025-09-04,Dashen,Google Play
"very slow and failed transaction multiple times, previous app was much better!!",2,2025-09-04,Dashen,Google Play
great 👍,5,2025-09-02,Dashen,Google Play
